Control No.,temp_ID,name,email,role,status
1,TMP-002,Lara Torres,lara@teachers.com,Teacher,Approved
3,TMP-006,Aaron Diaz,aaron@teachers.com,Teacher,Approved
4,TMP-007,Patrick Dela Cruz,patrick@teachers.com,Teacher,Approved
5,TMP-011,Marjie Santos,marjie@teachers.com,Teacher,Approved
8,TMP-012,Lloyd Torre,lloyd@teachers.com,Teacher,Approved
9,TMP-013,Jennie Tolentino,jennie@teachers.com,Teacher,Approved
10,TMP-019,Brent Natalo,brent@teachers.com,Teacher,Approved
14,TMP-026,Tina Mora,tina@students.com,Teacher,Pending
15,TMP-027,Mila Ispag,mila@students.com,Teacher,Pending
16,TMP-028,Veth Lugin,veth@students.com,Teacher,Pending
17,TMP-034,Marian Lising,marian@students.com,Teacher,Pending
18,TMP-035,Jhasper Nares,jhasper@students.com,Teacher,Pending
20,TMP-036,Kianne Acosta,kianne@students.com,Teacher,Pending
,,,,,
,,,,,
,,,,,
